ts_ms,sensor_id,valor(s),estado
1969-12-31T19:00:02,HC-SR04,0.0,ALERT
1969-12-31T19:00:03,HC-SR04,0.0,ALERT
1969-12-31T19:00:04,HC-SR04,0.0,ALERT
1969-12-31T19:00:05,HC-SR04,0.0,ALERT
1969-12-31T19:00:06,HC-SR04,0.0,ALERT
1969-12-31T19:00:07,HC-SR04,0.0,ALERT
1969-12-31T19:00:08,HC-SR04,0.0,ALERT
1969-12-31T19:00:09,HC-SR04,0.0,ALERT
1969-12-31T19:00:10,HC-SR04,4.46,ALERT
1969-12-31T19:00:11,HC-SR04,8.93,ALERT
1969-12-31T19:00:12,HC-SR04,13.39,ALERT
1969-12-31T19:00:13,HC-SR04,15.73,ALERT
1969-12-31T19:00:14,HC-SR04,18.06,ALERT
1969-12-31T19:00:15,HC-SR04,20.4,ALERT
1969-12-31T19:00:16,HC-SR04,22.74,ALERT
1969-12-31T19:00:17,HC-SR04,25.07,NORMAL
1969-12-31T19:00:18,HC-SR04,40.94,NORMAL
1969-12-31T19:00:19,HC-SR04,56.82,NORMAL
1969-12-31T19:00:20,HC-SR04,72.69,NORMAL
1969-12-31T19:00:21,HC-SR04,90.7,NORMAL
1969-12-31T19:00:22,HC-SR04,108.69,NORMAL
1969-12-31T19:00:23,HC-SR04,112.21,NORMAL
1969-12-31T19:00:24,HC-SR04,115.73,NORMAL
1969-12-31T19:00:25,HC-SR04,119.26,NORMAL
1969-12-31T19:00:26,HC-SR04,98.93,NORMAL
1969-12-31T19:00:27,HC-SR04,78.58,NORMAL
1969-12-31T19:00:28,HC-SR04,58.25,NORMAL
1969-12-31T19:00:29,HC-SR04,37.91,NORMAL
1969-12-31T19:00:30,HC-SR04,17.59,ALERT
1969-12-31T19:00:31,HC-SR04,11.72,ALERT
1969-12-31T19:00:32,HC-SR04,5.86,ALERT
1969-12-31T19:00:33,HC-SR04,-0.0,ALERT
1969-12-31T19:00:34,HC-SR04,-0.0,ALERT
1969-12-31T19:00:35,HC-SR04,-0.0,ALERT
1969-12-31T19:00:36,HC-SR04,-0.0,ALERT
1969-12-31T19:00:37,HC-SR04,-0.0,ALERT
1969-12-31T19:00:38,HC-SR04,-0.0,ALERT
1969-12-31T19:00:39,HC-SR04,-0.0,ALERT
1969-12-31T19:00:40,HC-SR04,-0.0,ALERT
1969-12-31T19:00:41,HC-SR04,-0.0,ALERT
1969-12-31T19:00:42,HC-SR04,-0.0,ALERT
1969-12-31T19:00:43,HC-SR04,8.37,ALERT
1969-12-31T19:00:44,HC-SR04,13.68,ALERT
1969-12-31T19:00:45,HC-SR04,18.99,ALERT
1969-12-31T19:00:46,HC-SR04,21.24,ALERT
1969-12-31T19:00:47,HC-SR04,23.49,ALERT
1969-12-31T19:00:48,HC-SR04,26.06,NORMAL
1969-12-31T19:00:49,HC-SR04,26.53,NORMAL
1969-12-31T19:00:50,HC-SR04,27.0,NORMAL
1969-12-31T19:00:51,HC-SR04,19.11,ALERT
1969-12-31T19:00:52,HC-SR04,14.27,ALERT
1969-12-31T19:00:53,HC-SR04,9.44,ALERT
1969-12-31T19:00:54,HC-SR04,7.66,ALERT
1969-12-31T19:00:55,HC-SR04,12.93,ALERT
1969-12-31T19:00:56,HC-SR04,17.89,ALERT
1969-12-31T19:00:57,HC-SR04,24.93,ALERT
1969-12-31T19:00:58,HC-SR04,31.98,NORMAL
1969-12-31T19:00:59,HC-SR04,39.03,NORMAL
1969-12-31T19:01:00,HC-SR04,46.08,NORMAL
1969-12-31T19:01:01,HC-SR04,53.13,NORMAL
1969-12-31T19:01:02,HC-SR04,60.18,NORMAL
1969-12-31T19:01:03,HC-SR04,60.18,NORMAL
1969-12-31T19:01:04,HC-SR04,60.18,NORMAL
1969-12-31T19:01:05,HC-SR04,60.18,NORMAL
1969-12-31T19:01:06,HC-SR04,60.18,NORMAL
1969-12-31T19:01:07,HC-SR04,60.18,NORMAL
1969-12-31T19:01:08,HC-SR04,60.18,NORMAL
1969-12-31T19:01:09,HC-SR04,60.18,NORMAL
1969-12-31T19:01:10,HC-SR04,60.18,NORMAL
1969-12-31T19:01:11,HC-SR04,60.18,NORMAL
1969-12-31T19:01:12,HC-SR04,60.18,NORMAL
1969-12-31T19:01:13,HC-SR04,60.05,NORMAL
1969-12-31T19:01:14,HC-SR04,60.01,NORMAL
1969-12-31T19:01:15,HC-SR04,59.92,NORMAL
1969-12-31T19:01:16,HC-SR04,59.83,NORMAL
1969-12-31T19:01:17,HC-SR04,59.73,NORMAL
1969-12-31T19:01:18,HC-SR04,59.65,NORMAL
1969-12-31T19:01:19,HC-SR04,59.56,NORMAL
1969-12-31T19:01:20,HC-SR04,59.47,NORMAL
1969-12-31T19:01:21,HC-SR04,59.51,NORMAL
1969-12-31T19:01:22,HC-SR04,59.47,NORMAL
1969-12-31T19:01:23,HC-SR04,59.46,NORMAL
1969-12-31T19:01:24,HC-SR04,59.46,NORMAL
1969-12-31T19:01:25,HC-SR04,59.47,NORMAL
1969-12-31T19:01:26,HC-SR04,59.55,NORMAL
1969-12-31T19:01:27,HC-SR04,59.55,NORMAL
1969-12-31T19:01:28,HC-SR04,59.64,NORMAL
1969-12-31T19:01:29,HC-SR04,59.65,NORMAL
1969-12-31T19:01:30,HC-SR04,59.74,NORMAL
1969-12-31T19:01:31,HC-SR04,60.06,NORMAL
1969-12-31T19:01:32,HC-SR04,57.1,NORMAL
1969-12-31T19:01:33,HC-SR04,54.13,NORMAL
1969-12-31T19:01:34,HC-SR04,51.07,NORMAL
1969-12-31T19:01:35,HC-SR04,48.1,NORMAL
1969-12-31T19:01:36,HC-SR04,45.04,NORMAL
1969-12-31T19:01:37,HC-SR04,42.06,NORMAL
