# x	Sen(x)	-Sen(x)
0.0000	0.0000	-0.0000
0.0126	0.0126	-0.0126
0.0252	0.0252	-0.0252
0.0377	0.0377	-0.0377
0.0503	0.0503	-0.0503
0.0629	0.0629	-0.0629
0.0755	0.0754	-0.0754
0.0881	0.0879	-0.0879
0.1006	0.1005	-0.1005
0.1132	0.1130	-0.1130
0.1258	0.1255	-0.1255
0.1384	0.1379	-0.1379
0.1509	0.1504	-0.1504
0.1635	0.1628	-0.1628
0.1761	0.1752	-0.1752
0.1887	0.1876	-0.1876
0.2013	0.1999	-0.1999
0.2138	0.2122	-0.2122
0.2264	0.2245	-0.2245
0.2390	0.2367	-0.2367
0.2516	0.2489	-0.2489
0.2642	0.2611	-0.2611
0.2767	0.2732	-0.2732
0.2893	0.2853	-0.2853
0.3019	0.2973	-0.2973
0.3145	0.3093	-0.3093
0.3271	0.3213	-0.3213
0.3396	0.3331	-0.3331
0.3522	0.3450	-0.3450
0.3648	0.3568	-0.3568
0.3774	0.3685	-0.3685
0.3899	0.3801	-0.3801
0.4025	0.3917	-0.3917
0.4151	0.4033	-0.4033
0.4277	0.4148	-0.4148
0.4403	0.4262	-0.4262
0.4528	0.4375	-0.4375
0.4654	0.4488	-0.4488
0.4780	0.4600	-0.4600
0.4906	0.4711	-0.4711
0.5032	0.4822	-0.4822
0.5157	0.4932	-0.4932
0.5283	0.5041	-0.5041
0.5409	0.5149	-0.5149
0.5535	0.5256	-0.5256
0.5661	0.5363	-0.5363
0.5786	0.5469	-0.5469
0.5912	0.5574	-0.5574
0.6038	0.5678	-0.5678
0.6164	0.5781	-0.5781
0.6289	0.5883	-0.5883
0.6415	0.5984	-0.5984
0.6541	0.6084	-0.6084
0.6667	0.6184	-0.6184
0.6793	0.6282	-0.6282
0.6918	0.6380	-0.6380
0.7044	0.6476	-0.6476
0.7170	0.6571	-0.6571
0.7296	0.6666	-0.6666
0.7422	0.6759	-0.6759
0.7547	0.6851	-0.6851
0.7673	0.6942	-0.6942
0.7799	0.7032	-0.7032
0.7925	0.7121	-0.7121
0.8051	0.7209	-0.7209
0.8176	0.7295	-0.7295
0.8302	0.7381	-0.7381
0.8428	0.7465	-0.7465
0.8554	0.7548	-0.7548
0.8679	0.7630	-0.7630
0.8805	0.7711	-0.7711
0.8931	0.7790	-0.7790
0.9057	0.7868	-0.7868
0.9183	0.7945	-0.7945
0.9308	0.8021	-0.8021
0.9434	0.8096	-0.8096
0.9560	0.8169	-0.8169
0.9686	0.8241	-0.8241
